,Image Name,Prediction
162,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 7.599816000000001.png,1
163,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 7.427846000000001.png,1
164,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 1.8155580000000002.png,3
165,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221714.wav at 3.460814.png,1
166,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200726.wav at 5.415994.png,1
167,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183728.wav at 2.442593.png,1
168,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 5.635364.png,1
169,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221714.wav at 6.134749.png,1
170,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191659.wav at 2.39319.png,1
171,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 2.476467.png,4
172,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 11.795634.png,1
173,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191659.wav at 2.9878400000000003.png,1
174,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 8.022796000000001.png,1
175,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 4.0062120000000006.png,3
176,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221742.wav at 3.9918339999999994.png,1
177,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215105.wav at 1.005906.png,1
178,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191337.wav at 2.284907.png,0
179,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 1.320495.png,3
180,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_203055.wav at 1.626894.png,1
181,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 4.277653.png,1
182,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202649.wav at 1.7803400000000003.png,1
183,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191529.wav at 12.240323.png,4
184,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_190644.wav at 2.310253.png,3
185,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215105.wav at 2.479722.png,1
186,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191408.wav at 6.434374.png,3
187,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_185133.wav at 0.807782.png,1
188,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 6.911212.png,1
189,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 5.2400199999999995.png,1
190,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191319.wav at 7.659031.png,2
191,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_205659.wav at 3.5828800000000003.png,1
192,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215105.wav at 2.835671.png,1
193,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190625.wav at 1.475355.png,1
194,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 6.692699.png,1
195,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191133.wav at 3.23049.png,1
196,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 10.461279.png,1
197,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 3.030568.png,2
198,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191408.wav at 3.8393550000000003.png,1
199,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 4.074507.png,3
200,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 6.659714999999999.png,1
201,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184647.wav at 3.803514.png,2
202,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 6.224583999999999.png,1
203,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191207.wav at 4.048783.png,2
204,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 11.905895.png,1
205,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191319.wav at 9.533176.png,2
206,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202455.wav at 3.752676.png,1
207,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 7.725674000000001.png,1
208,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213459.wav at 2.50074.png,4
209,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 11.574994.png,1
210,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221556.wav at 0.767368.png,1
211,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191432.wav at 2.248582.png,1
212,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200726.wav at 6.635617.png,1
213,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 11.296999000000001.png,4
214,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 3.4822699999999998.png,3
215,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183728.wav at 1.8677419999999998.png,1
216,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202455.wav at 4.177258.png,1
217,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_210037.wav at 3.503965.png,1
218,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 10.746587.png,1
219,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_204517.wav at 4.684985.png,1
220,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_194130.wav at 11.157126.png,1
221,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191337.wav at 4.768193.png,2
222,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_201257.wav at 3.824335.png,1
223,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221545.wav at 2.584827.png,1
224,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_210037.wav at 4.2142040000000005.png,1
225,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 6.63087.png,1
226,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 10.086277.png,1
227,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200726.wav at 5.717258.png,1
228,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223411.wav at 7.48373.png,1
229,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191319.wav at 11.038079.png,4
230,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 10.043458.png,3
231,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 3.459251.png,3
232,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 2.5291.png,3
233,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183728.wav at 4.786118.png,1
234,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191432.wav at 3.0145720000000003.png,2
235,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190625.wav at 0.678636.png,1
236,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 9.869648.png,1
237,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 8.722907000000001.png,3
238,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_205659.wav at 1.8914240000000002.png,1
239,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190818.wav at 4.4866470000000005.png,1
240,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191354.wav at 5.251023.png,0
241,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223847.wav at 7.388339.png,1
242,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 5.7610980000000005.png,1
243,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190625.wav at 1.974623.png,1
244,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 5.02493.png,1
245,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 13.365557999999998.png,2
246,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 3.1563369999999997.png,1
247,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_210726.wav at 3.682953.png,1
248,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_201257.wav at 10.16922.png,1
249,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_201038.wav at 2.513827.png,1
250,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 7.326395.png,3
251,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_203055.wav at 4.9938199999999995.png,1
252,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 2.95768.png,1
253,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 1.73735.png,1
254,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191659.wav at 1.456597.png,1
255,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202649.wav at 2.5577919999999996.png,1
256,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191147.wav at 3.366139.png,1
257,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200634.wav at 3.695874.png,1
